COLUMN 1; ;COLUMN2;COLUMN3;COLUMN5;COLUMN6;;;;;;;;;
this is a; ;csv file with empty spaces; ;-;NEW COLUMN;;;;;;;;;
anyway,;they are stored in; ;the file;-;F;;;;;;;;;
this;is a ;new;line;-;F;;;;;;;;;
line 5;and column 5;where created;with the editor;-;F;;;;;;;;;
-;-;-;-;-;F;;;;;;;;;
res;res;res;;F;e;;;;;;;;;
awew;aweawe;ewaewa;wwwwwwwwiiiiiiiii ;F;F;;;;;;;;;
ciao;ciao;;;F;F;;;;;;;;;
ciao;ciao;ciao;ciao;ciao;F;;;;;;;;;
NON;NE;VOGLIO;SAPERE;NIENTE;;;;;;;;;;
UFFA;UFFA;UFFA;NUFFA;;REFFA;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;YES
